Comment	Designator	Footprint	JLCPCB Part #
2u2	C4,C8,C1,C11	CAPACITOR_C1206	C50254
10uF	C18	CL21A106KAYNNNE	C15850
4u7	C12,C9	CAPACITOR_C1206	C29823
2n2	C10,C7	CAPACITOR_R0603	C1604
diode	D1	SM5817PL-TPSOD3716X120N	C669022
op-amp	IC1	MCP6024-I_SLSOIC127P600X175-14N	C43211
1nF	C6,C3	CAPACITOR_R0603	C1588
100n	C16,C13,C15,C14	CAPACITOR_C0805	C28233
voltagereg	IC2	UA78L05AIPKPK(R-PSSO-F3)	C507276
100R	R15,R10	RESISTOR_R0603	C22775
100pF	C5,C2	CAPACITOR_R0603	C14858
1M	R9,R13,R8,R14	RESISTOR_R0603	C22935
3K3	R12,R7	RESISTOR_R0603	C22978
1K	R17,R18,R4,R1	RESISTOR_R0603	C21190
100K	R11,R16	RESISTOR_R0603	C25803
2M	R5,R3,R2,R6	RESISTOR_R0603	C22976
