Comment,Designator,Footprint,JLCPCB Part#(optional)
10n,C1,0603,C85973
1u,C2,0805,C28323
22n,C3,0603,C21122
22n,C4,0805,C77069
39n,C5,0603,C107091
47n,C6,1206,C21812
100p,C7,0603,C14858
47p,C8,0603,C1671
100n,C9,0603,C14663
100n,C10,0603,C14663
100n,C12,1206,C97946
47p,C15,0603,C1671
10n,C16,0603,C85973
10n,C17,0603,C85973
2n2,C18,0603,C77033
22n,C19,0603,C21122
1u,C20,1206,C13832
100n,C21,1206,C97946
2u2,C22,1206,C50254
10uF,C23,1206,C14860
1N4148W,D1,SODFL3816X120N,C81598
1N4148W,D2,SODFL3816X120N,C81598
1N4148W,D3,SODFL3816X120N,C81598
1N4148W,D4,SODFL3816X120N,C81598
1N4148W,D5,SODFL3816X120N,C81598
1N4148W,D6,SODFL3816X120N,C81598
1N4148W,D7,SODFL3816X120N,C81598
1N4148W,D8,SODFL3816X120N,C81598
1N4148W,D9,SODFL3816X120N,C81598
LM1458MX_NOPB,IC1,SOIC127P600X175-8N,C444394
RC4580,IC2,SOIC127P600X175-8N,C434475
MMBF5457,Q1,SOT23-DGS,C2830807
2M,R1,0603,C22976
27K,R2,0603,C22967
1M,R3,0603,C22935
33K,R4,0603,C4216
2M,R5,0603,C22976
680R,R6,0603,C23228
10K,R7,0603,C25804
510K,R8,0603,C23192
9K1,R9,0603,C23260
47K,R10,0603,C25819
47K,R11,0603,C25819
100K,R12,0603,C25803
3K3,R13,0603,C22978
10K,R14,0603,C25804
8K2,R15,0603,C25981
6K8,R16,0603,C23212
10K,R17,0603,C25804
220K,R18,0603,C22961
1K,R19,0603,C21190
1K,R20,0603,C21190
10K,R21,0603,C25804
6K8,R22,0603,C23212
10K,R23,0603,C25804
100K,R24,0603,C25803
18K,R25,0603,C25810
68K,R26,0603,C23231
1M,R27,0603,C22935
22K,R28,0603,C31850
12K,R29,0603,C22790
12K,R30,0603,C22790
