Designator,Mid X,Mid Y,Layer,Rotation
C1,4.45,24.77,Top,90
C2,52.71,20.32,Top,90
C3,50.16,29.21,Top,90
C4,4.45,30.16,Top,90
C5,17.14,20.32,Top,90
C6,17.14,29.21,Top,90
C7,29.85,29.21,Top,90
C8,47.63,29.21,Top,90
C9,42.55,29.21,Top,90
C10,6.99,30.16,Top,90
C11,32.38,29.21,Top,90
C12,19.69,29.21,Top,90
C13,29.85,20.32,Top,90
CX1,20.32,13.34,Top,0
D1,31.43,36.2,Top,0
D2,31.43,33.66,Top,180
D3,18.73,36.2,Top,0
D4,18.73,33.66,Top,180
DX1,20.32,7.62,Top,0
Q1,51.44,24.77,Top,180
Q2,36.2,24.77,Top,180
Q3,23.5,24.77,Top,180
Q4,10.79,24.77,Top,180
R2,4.45,20.32,Top,90
R3,47.63,24.77,Top,90
R4,47.63,20.32,Top,90
R5,40.01,29.21,Top,90
R6,50.16,20.32,Top,90
R7,45.09,20.32,Top,90
R8,45.09,29.21,Top,90
R9,9.53,30.16,Top,90
R10,34.93,20.32,Top,90
R11,37.47,20.32,Top,90
R12,29.85,24.77,Top,90
R13,9.53,20.32,Top,90
R14,6.99,24.77,Top,90
R15,34.93,29.21,Top,90
R16,32.38,24.77,Top,90
R17,22.23,29.21,Top,90
R18,24.77,20.32,Top,90
R19,17.14,24.77,Top,90
R20,19.69,24.77,Top,90
R21,22.23,20.32,Top,90
R22,6.99,20.32,Top,90
R23,19.69,20.32,Top,90
RX1,9.53,2.54,Top,0
RX2,20.32,10.79,Top,0
